file,q,freq,tramcnt,delay,punctuality,serviced,congestion,highLatenessTrams,total_waiting_time
input-data-passengers-06,180,150,9,323025,504252,3435,0,9,932.414913493058
input-data-passengers-06,210,150,9,323025,520399,3487,0,9,717.320460785086
input-data-passengers-06,240,150,9,323026,536524,3417,0,9,755.702001211776
input-data-passengers-06,270,150,9,323047,552182,3462,0,9,683.016578485951
input-data-passengers-06,300,150,9,323024,568299,3374,0,9,827.392616866486
input-data-passengers-06,150,150,10,356788,479669,3437,0,10,708.271314032315
input-data-passengers-06,180,150,10,356787,495851,3542,0,10,867.223230235884
input-data-passengers-06,210,150,10,356788,512005,3526,0,10,821.377952512034
input-data-passengers-06,240,150,10,356786,528178,3502,0,10,624.687641542411
input-data-passengers-06,270,150,10,356811,543616,3417,0,10,802.96516473832
input-data-passengers-06,300,150,10,356787,559706,3359,0,10,892.537495990263
input-data-passengers-06,150,150,11,223476,345977,3638,0,11,845.719840402477
input-data-passengers-06,180,150,11,223956,364272,3675,0,11,770.429631942776
input-data-passengers-06,210,150,11,220328,378092,3679,0,11,773.37861650363
input-data-passengers-06,240,150,11,226217,399912,3806,0,11,667.833775792912
input-data-passengers-06,270,150,11,216657,408253,3764,0,11,854.115146073077
input-data-passengers-06,300,150,11,219489,428012,3643,0,11,659.060429376254
input-data-passengers-06,150,150,12,211708,295373,3650,0,12,672.836553013173
input-data-passengers-06,180,150,12,211703,312918,3762,0,12,683.664599847831
input-data-passengers-06,210,150,12,211705,330508,3722,0,12,719.947591337153
input-data-passengers-06,240,150,12,211709,347995,3702,0,12,683.907909562109
input-data-passengers-06,270,150,12,211727,364317,3748,0,12,777.986607308942
input-data-passengers-06,300,150,12,211713,381668,3773,0,12,718.175152522195
input-data-passengers-06,150,150,13,207974,258804,3696,0,13,608.008383830851
input-data-passengers-06,180,150,13,208018,275705,3732,0,13,679.604061854565
input-data-passengers-06,210,150,13,207972,292869,3768,0,13,644.11528486351
input-data-passengers-06,240,150,13,207971,309938,3855,0,13,655.947243566732
input-data-passengers-06,270,150,13,208040,325401,3709,0,13,642.804365116401
input-data-passengers-06,300,150,13,205438,342053,3629,0,13,652.765900385333
input-data-passengers-06,150,150,14,205807,251308,3618,0,14,675.722082753873
input-data-passengers-06,180,150,14,206561,260867,3721,0,14,709.230805354097
input-data-passengers-06,210,150,14,205419,270029,3780,0,14,728.903783531214
input-data-passengers-06,240,150,14,206806,280554,3663,0,14,711.533973220759
input-data-passengers-06,270,150,14,205319,289111,3667,0,14,679.592406343344
