q;freq;tramcnt;delay;punctuality;serviced;congestion;highLatenessTrams;total_waiting_time
300;630;8;0;36465;5305;0;8;0
150;630;9;0;24766;5293;0;9;0
180;630;9;0;27106;5194;0;9;0
210;630;9;0;29446;5309;0;9;0
240;630;9;0;31788;5256;0;9;0
270;630;9;0;34126;5234;0;9;0
300;630;9;0;36467;5253;0;9;0
150;630;10;0;24767;5231;0;10;0
180;630;10;0;27109;5255;0;10;0
210;630;10;0;29445;5174;0;10;0
240;630;10;0;31786;5247;0;10;0
270;630;10;0;34129;5354;0;10;0
300;630;10;0;36466;5246;0;10;0
150;630;11;0;24767;5202;0;11;0
180;630;11;0;27106;5200;0;11;0
210;630;11;0;29447;5159;0;11;0
240;630;11;0;31786;5230;0;11;0
270;630;11;0;34129;5182;0;11;0
300;630;11;0;36466;5402;0;11;0
150;630;12;0;24765;5263;0;12;0
180;630;12;0;27106;5207;0;12;0
210;630;12;0;29446;5399;0;12;0
240;630;12;0;31785;5322;0;12;0
270;630;12;0;34126;5276;0;12;0
300;630;12;0;36466;5210;0;12;0
150;630;13;0;24768;5256;0;13;0
180;630;13;0;27112;5253;0;13;0
210;630;13;0;29448;5337;0;13;0
240;630;13;0;31789;5201;0;13;0
270;630;13;0;34126;5355;0;13;0
300;630;13;0;36465;5188;0;13;0
150;630;14;0;24764;5174;0;14;0
180;630;14;0;27105;5280;0;14;0
210;630;14;0;29448;5220;0;14;0
240;630;14;0;31787;5250;0;14;0
270;630;14;0;34128;5336;0;14;0
300;630;14;0;36466;5356;0;14;0
150;630;15;0;24766;5285;0;15;0
180;630;15;0;27108;5134;0;15;0
210;630;15;0;29446;5179;0;15;0
240;630;15;0;31788;5292;0;15;0
270;630;15;0;34131;5368;0;15;0
300;630;15;0;36467;5145;0;15;0
150;630;16;0;24767;5227;0;16;0
180;630;16;0;27105;5238;0;16;0
210;630;16;0;29447;5303;0;16;0
240;630;16;0;31787;5050;0;16;0
270;630;16;0;34129;5331;0;16;0
300;630;16;0;36466;5356;0;16;0
150;630;17;0;24771;5274;0;17;0
180;630;17;0;27106;5378;0;17;0
210;630;17;0;29447;5227;0;17;0
240;630;17;0;31784;5372;0;17;0
270;630;17;0;34126;5320;0;17;0
300;630;17;0;36465;5329;0;17;0
150;630;18;0;24767;5255;0;18;0
180;630;18;0;27105;5233;0;18;0
210;630;18;0;29447;5126;0;18;0
240;630;18;0;31787;5209;0;18;0
270;630;18;0;34125;5217;0;18;0
300;630;18;0;36467;5182;0;18;0
150;630;19;0;24770;5261;0;19;0
180;630;19;0;27106;5420;0;19;0
210;630;19;0;29448;5282;0;19;0
240;630;19;0;31785;5170;0;19;0
270;630;19;0;34129;5294;0;19;0
300;630;19;0;36469;5272;0;19;0
150;630;20;0;24767;5260;0;20;0
180;630;20;0;27105;5261;0;20;0
210;630;20;0;29448;5227;0;20;0
240;630;20;0;31787;5256;0;20;0
270;630;20;0;34127;5148;0;20;0
300;630;20;0;36467;5213;0;20;0
150;660;1;0;108341;4957;0;1;0
180;660;1;0;112985;4921;0;1;0
210;660;1;0;117656;4977;0;1;0
240;660;1;0;122334;5015;0;1;0
270;660;1;0;126937;5015;0;1;0
300;660;1;0;131602;4965;0;1;0
150;660;2;0;55618;4995;0;2;0
180;660;2;0;60280;4936;0;2;0
210;660;2;0;64949;5047;0;2;0
240;660;2;0;69565;4976;0;2;0
270;660;2;0;74244;4979;0;2;0
300;660;2;0;78887;4963;0;2;0
150;660;3;0;22000;5114;0;3;0
180;660;3;0;24280;4950;0;3;0
210;660;3;0;26561;5140;0;3;0
240;660;3;0;28861;5124;0;3;0
270;660;3;0;31233;4991;0;3;0
300;660;3;0;33593;5009;0;3;0
150;660;4;0;21842;5008;0;4;0
180;660;4;0;24090;4945;0;4;0
210;660;4;0;26341;5189;0;4;0
240;660;4;0;28590;5073;0;4;0
270;660;4;0;30839;4965;0;4;0
300;660;4;0;33091;4999;0;4;0
150;660;5;0;21841;5016;0;5;0
180;660;5;0;24089;5045;0;5;0
210;660;5;0;26342;5020;0;5;0
240;660;5;0;28589;5114;0;5;0
270;660;5;0;30839;4985;0;5;0
300;660;5;0;33093;4960;0;5;0
150;660;6;0;21845;5038;0;6;0
180;660;6;0;24092;5038;0;6;0
210;660;6;0;26341;5097;0;6;0
240;660;6;0;28591;5056;0;6;0
270;660;6;0;30845;4923;0;6;0
300;660;6;0;33094;4947;0;6;0
150;660;7;0;21840;5017;0;7;0
180;660;7;0;24093;5038;0;7;0
210;660;7;0;26342;4860;0;7;0
240;660;7;0;28591;4998;0;7;0
270;660;7;0;30839;5020;0;7;0
300;660;7;0;33093;5086;0;7;0
150;660;8;0;21840;5145;0;8;0
180;660;8;0;24090;4972;0;8;0
210;660;8;0;26341;4916;0;8;0
240;660;8;0;28588;5038;0;8;0
270;660;8;0;30838;4945;0;8;0
300;660;8;0;33089;5082;0;8;0
150;660;9;0;21840;5045;0;9;0
180;660;9;0;24094;4841;0;9;0
210;660;9;0;26343;5102;0;9;0
240;660;9;0;28590;4952;0;9;0
270;660;9;0;30840;4922;0;9;0
300;660;9;0;33093;4898;0;9;0
150;660;10;0;21841;4956;0;10;0
180;660;10;0;24091;5186;0;10;0
210;660;10;0;26341;5110;0;10;0
240;660;10;0;28591;5065;0;10;0
270;660;10;0;30840;4939;0;10;0
300;660;10;0;33094;5060;0;10;0
150;660;11;0;21846;5051;0;11;0
180;660;11;0;24094;4934;0;11;0
210;660;11;0;26341;4994;0;11;0
240;660;11;0;28592;5034;0;11;0
270;660;11;0;30841;5017;0;11;0
300;660;11;0;33091;5015;0;11;0
150;660;12;0;21844;4997;0;12;0
180;660;12;0;24092;4964;0;12;0
210;660;12;0;26342;4992;0;12;0
240;660;12;0;28588;5023;0;12;0
270;660;12;0;30842;4963;0;12;0
300;660;12;0;33091;5004;0;12;0
150;660;13;0;21838;4890;0;13;0
180;660;13;0;24092;5023;0;13;0
210;660;13;0;26343;4909;0;13;0
240;660;13;0;28590;4976;0;13;0
270;660;13;0;30840;5038;0;13;0
300;660;13;0;33091;5135;0;13;0
150;660;14;0;21844;4846;0;14;0
180;660;14;0;24092;5058;0;14;0
210;660;14;0;26343;5085;0;14;0
240;660;14;0;28594;5010;0;14;0
270;660;14;0;30840;4898;0;14;0
300;660;14;0;33095;5021;0;14;0
150;660;15;0;21842;5012;0;15;0
180;660;15;0;24097;4938;0;15;0
210;660;15;0;26339;4987;0;15;0
240;660;15;0;28593;4976;0;15;0
270;660;15;0;30844;4942;0;15;0
300;660;15;0;33091;4991;0;15;0
150;660;16;0;21840;4996;0;16;0
180;660;16;0;24092;5066;0;16;0
210;660;16;0;26342;5001;0;16;0
240;660;16;0;28593;5073;0;16;0
270;660;16;0;30841;5037;0;16;0
300;660;16;0;33090;4971;0;16;0
150;660;17;0;21841;5039;0;17;0
300;450;19;0;66845;7226;0;19;0
150;450;20;0;51093;6973;0;20;0
180;450;20;0;54244;7129;0;20;0
210;450;20;0;57395;7176;0;20;0
240;450;20;0;60542;7244;0;20;0
270;450;20;0;63695;7239;0;20;0
300;450;20;0;66841;7101;0;20;0
150;480;1;0;158586;6670;0;1;0
180;480;1;0;164661;6614;0;1;0
210;480;1;0;170774;6904;0;1;0
240;480;1;0;176861;6727;0;1;0
270;480;1;0;182942;6587;0;1;0
300;480;1;0;189037;6710;0;1;0
150;480;2;0;105873;6643;0;2;0
180;480;2;0;111953;6687;0;2;0
210;480;2;0;118064;6685;0;2;0
240;480;2;0;124150;6662;0;2;0
270;480;2;0;130247;6716;0;2;0
300;480;2;0;136297;6609;0;2;0
150;480;3;0;59340;6691;0;3;0
180;480;3;0;65020;6705;0;3;0
210;480;3;0;70707;6808;0;3;0
240;480;3;0;76424;6592;0;3;0
270;480;3;0;82121;6486;0;3;0
300;480;3;0;87819;6581;0;3;0
150;480;4;0;45241;6685;0;4;0
180;480;4;0;48216;6775;0;4;0
210;480;4;0;51183;6656;0;4;0
240;480;4;0;54150;6706;0;4;0
270;480;4;0;57124;6610;0;4;0
300;480;4;0;60092;6530;0;4;0
150;480;5;0;45243;6820;0;5;0
180;480;5;0;48213;6756;0;5;0
210;480;5;0;51185;6721;0;5;0
240;480;5;0;54152;6746;0;5;0
270;480;5;0;57127;6642;0;5;0
300;480;5;0;60089;6841;0;5;0
150;480;6;0;45242;6711;0;6;0
180;480;6;0;48215;6597;0;6;0
210;480;6;0;51182;6677;0;6;0
240;480;6;0;54153;6642;0;6;0
270;480;6;0;57126;6775;0;6;0
300;480;6;0;60091;6655;0;6;0
150;480;7;0;45245;6573;0;7;0
180;480;7;0;48216;6713;0;7;0
210;480;7;0;51183;6693;0;7;0
240;480;7;0;54152;6614;0;7;0
270;480;7;0;57125;6773;0;7;0
300;480;7;0;60090;6650;0;7;0
150;480;8;0;45242;6603;0;8;0
180;480;8;0;48213;6819;0;8;0
210;480;8;0;51183;6652;0;8;0
240;480;8;0;54156;6716;0;8;0
270;480;8;0;57124;6904;0;8;0
300;480;8;0;60100;6645;0;8;0
150;480;9;0;45239;6711;0;9;0
180;480;9;0;48213;6385;0;9;0
210;480;9;0;51181;6718;0;9;0
240;480;9;0;54155;6739;0;9;0
270;480;9;0;57123;6608;0;9;0
300;480;9;0;60090;6785;0;9;0
150;480;10;0;45241;6749;0;10;0
180;480;10;0;48214;6660;0;10;0
210;480;10;0;51184;6696;0;10;0
240;480;10;0;54156;6738;0;10;0
270;480;10;0;57126;6672;0;10;0
300;480;10;0;60090;6771;0;10;0
150;480;11;0;45241;6560;0;11;0
180;480;11;0;48215;6696;0;11;0
210;480;11;0;51183;6583;0;11;0
240;480;11;0;54153;6744;0;11;0
270;480;11;0;57125;6531;0;11;0
300;480;11;0;60094;6758;0;11;0
150;480;12;0;45245;6669;0;12;0
180;480;12;0;48210;6729;0;12;0
210;480;12;0;51182;6733;0;12;0
240;480;12;0;54152;6644;0;12;0
270;480;12;0;57123;6698;0;12;0
300;480;12;0;60092;6615;0;12;0
150;480;13;0;45246;6797;0;13;0
180;480;13;0;48211;6695;0;13;0
210;480;13;0;51182;6666;0;13;0
240;480;13;0;54155;6825;0;13;0
270;480;13;0;57123;6595;0;13;0
300;480;13;0;60093;6539;0;13;0
150;480;14;0;45243;6802;0;14;0
180;480;14;0;48212;6672;0;14;0
210;480;14;0;51183;6741;0;14;0
240;480;14;0;54151;6762;0;14;0
270;480;14;0;57125;6699;0;14;0
300;480;14;0;60091;6879;0;14;0
150;480;15;0;45246;6667;0;15;0
180;480;15;0;48212;6665;0;15;0
210;480;15;0;51181;6629;0;15;0
240;480;15;0;54156;6663;0;15;0
270;480;15;0;57121;6714;0;15;0
300;480;15;0;60091;6724;0;15;0
150;480;16;0;45248;6605;0;16;0
180;480;16;0;48211;6734;0;16;0
210;480;16;0;51184;6730;0;16;0
240;480;16;0;54151;6692;0;16;0
270;480;16;0;57126;6876;0;16;0
300;480;16;0;60092;6666;0;16;0
150;480;17;0;45245;6763;0;17;0
180;480;17;0;48214;6703;0;17;0
210;480;17;0;51186;6642;0;17;0
240;480;17;0;54152;6785;0;17;0
270;480;17;0;57127;6532;0;17;0
300;480;17;0;60091;6626;0;17;0
150;480;18;0;45242;6753;0;18;0
180;480;18;0;48212;6671;0;18;0
210;480;18;0;51181;6686;0;18;0
240;480;18;0;54152;6527;0;18;0
270;480;18;0;57126;6624;0;18;0
300;480;18;0;60097;6548;0;18;0
150;480;19;0;45243;6511;0;19;0
180;480;19;0;48211;6686;0;19;0
210;480;19;0;51185;6670;0;19;0
240;480;19;0;54151;6618;0;19;0
270;480;19;0;57123;6530;0;19;0
240;90;20;314564;546339;34401;0;20;0
270;90;20;333963;595065;34601;0;20;0
300;90;20;319806;610082;34166;0;20;0
